sample_id,s_mean,hardness_mean,sat_frac,M_mean,M_p99,frac_M_gt_0.5,rho_M_prior
03640,0.092305,0.011971,0.962098,0.042694,0.322998,0.003048,0.369897
03708,0.16219,0.012865,0.959457,0.037863,0.311768,0.003281,0.39523
03719,0.163086,0.013184,0.958492,0.032461,0.234375,0.002267,0.349963
03769,0.193398,0.012475,0.960809,0.035372,0.29126,0.002434,0.273495
03813,0.086496,0.00775,0.975165,0.041161,0.320068,0.003609,0.188075
03836,0.153109,0.009182,0.970684,0.0277,0.206909,0.001834,0.274596
03878,0.665343,0.028784,0.910084,0.024335,0.168091,0.002647,0.433248
03989,0.836685,0.013782,0.960122,0.03138,0.248047,0.003549,0.43472
04006,0.684218,0.035954,0.887407,0.017943,0.115173,0.001794,0.316854
04018,0.776489,0.017345,0.944352,0.023163,0.137573,0.002954,0.460681
04026,0.784267,0.017232,0.945085,0.022672,0.133179,0.002789,0.449689
04053,0.520022,0.031778,0.902636,0.022665,0.141724,0.00162,0.36842
04092,0.60684,0.045525,0.848134,0.022805,0.147095,0.001909,0.376199
04160,0.049793,0.004143,0.987314,0.033203,0.259766,0.002926,0.403659
